id,labels,strategy,labels_weak1,labels_weak3
1372969669389393932,0,general discourse,0,0
1521594471279996928,0,general discourse,0,0
1385896329071632386,0,general discourse,0,1
1403386698835365888,0,general discourse,0,1
1509240723362795531,0,general discourse,0,1
1427939252269158404,0,general discourse,1,1
1521117300832804864,1,against Ukraine,1,1
1503720775718739970,0,general discourse,0,1
1513829546344202248,0,general discourse,1,1
1530468497335242752,0,general discourse,1,1
1499472385027850245,0,general discourse,0,1
1414955057628516368,0,general discourse,0,1
1567674851955036164,0,general discourse,0,1
1528828677282201605,0,general discourse,1,1
1497004373679161344,0,general discourse,0,1
1510783737017028616,0,general discourse,0,1
1494307850075746309,0,general discourse,0,1
1547182333446569985,0,general discourse,0,1
1501894281317031936,0,general discourse,1,1
1437988560859275272,0,general discourse,0,1
1525883055616950273,0,general discourse,0,1
1436374509108580385,0,general discourse,0,1
1389823193309908994,0,general discourse,1,1
1523633129197604866,1,against Ukraine,0,1
1531667460985864195,0,general discourse,0,1
1505070344717189121,0,general discourse,0,1
1404079357145104388,0,general discourse,0,1
1419340068314128385,1,pro Russian government,0,1
1552715861932363776,0,general discourse,1,1
1506978765494276104,0,general discourse,0,0
1427374777287815175,0,general discourse,0,1
1429096277048975365,0,general discourse,0,1
1434122763275575297,1,against Western countries,1,1
1438954048024104963,0,general discourse,0,1
1456455909589192709,0,general discourse,0,1
1471937023955058692,0,general discourse,0,1
1419628407944536067,0,general discourse,0,1
1474741329515229184,0,general discourse,0,1
1483937071601491968,0,general discourse,1,1
1486110216840175618,0,general discourse,0,0
1486307180009590785,0,general discourse,0,0
1483784130798096390,0,general discourse,0,0
1489404268482338818,0,general discourse,0,1
1490956660499615747,0,general discourse,0,0
1523994579061866496,0,general discourse,0,0
1492528149531291661,0,general discourse,0,0
1502856632232939523,0,general discourse,0,0
1497615884537724929,0,general discourse,0,0
1491969631254466581,0,general discourse,0,0
1492872319685074948,0,general discourse,0,1
1493630966044274699,0,general discourse,0,0
1496853805320843270,0,general discourse,0,1
1496876799925825538,0,general discourse,0,0
1498038424409817089,1,against Ukraine,0,1
1479098715549884419,0,general discourse,0,1
1425426397259083778,0,general discourse,0,0
1497124539909775360,0,general discourse,1,1
1497209600038535171,0,general discourse,0,0
1497526638510153737,0,general discourse,0,0
1498658519863771142,0,general discourse,0,0
1498670421612367873,0,general discourse,0,1
1499249011030921217,1,against Western countries,1,1
1499474008982503431,1,against Ukraine,0,0
1499723085930508289,0,general discourse,0,1
1506434505632006146,0,general discourse,0,0
1499763960920297476,0,general discourse,1,1
1499821256518127616,0,general discourse,0,0
1573384987977875456,0,general discourse,0,0
1500105480202510341,0,general discourse,1,1
1567172131691134978,0,general discourse,1,1
1404567303161888769,0,general discourse,0,1
1379824090106753024,0,general discourse,1,1
1517801765063774211,0,general discourse,1,1
1562647465148309504,1,against Western countries,1,1
1570796748100243456,0,general discourse,0,1
1534282739297525762,0,general discourse,1,1
1550659560867864576,0,general discourse,0,1
1504989711328231424,0,general discourse,1,1
1515487341057658884,0,general discourse,0,1
1551553039101829122,0,general discourse,0,1
1517632113624899585,0,general discourse,0,1
1523642143616946176,0,general discourse,0,1
1566575431746297858,0,general discourse,0,0
1536061204107763712,0,general discourse,1,1
1541148483209543681,0,general discourse,0,1
1562552149862916096,0,general discourse,1,1
1497952252526481420,0,general discourse,1,1
1520347936001073153,0,general discourse,0,1
1510365842990682131,0,general discourse,0,1
1513124877250838529,0,general discourse,1,1
1526270010544607232,1,against Western countries,0,1
1573740104874606593,0,general discourse,1,1
1367531965012918280,0,general discourse,0,0
1536059659303407619,0,general discourse,0,1
1476579992578502656,0,general discourse,1,1
1500202907676950538,0,general discourse,1,1
1501960065984647171,0,general discourse,0,1
1563086705036775425,0,general discourse,1,1
1494950521232314370,1,against Ukraine,1,1
1508773303598649345,0,general discourse,0,0
1521050504532529153,0,general discourse,0,1
1532737845768638466,0,general discourse,1,1
1546553656694247425,0,general discourse,0,0
1516738470269624326,0,general discourse,1,1
1482287086959009792,0,general discourse,1,1
1503058571818414088,0,general discourse,0,1
1369240714735935492,0,general discourse,0,0
1562767293452410884,0,general discourse,1,1
1569597197305450496,0,general discourse,1,1
1503467567968657410,0,general discourse,0,1
1500734461930917888,0,general discourse,1,1
1501068357155495937,0,general discourse,1,1
1501435579766087681,0,general discourse,0,0
1501723186697756673,0,general discourse,0,0
1501526629251747850,1,pro Russian government,0,0
1501842229027086337,0,general discourse,1,1
1502313107569483776,0,general discourse,0,1
1503065762260475911,0,general discourse,0,0
1503474317107118082,0,general discourse,0,0
1504486633264988165,1,against Western countries,1,1
1516782178423746566,0,general discourse,0,1
1504731003989942282,1,against Ukraine,0,1
1504417492294381572,1,against Ukraine,0,1
1505086152797306894,1,against Ukraine,1,1
1503686481650626564,0,general discourse,1,1
1502920825183293444,0,general discourse,0,1
1504905971507900424,1,against Western countries,0,1
1557119792204713984,1,pro Russian government,1,1
1562204612974845952,1,pro Russian government,1,1
1555989736367456258,1,against Western countries,1,1
1451914788565618696,0,general discourse,0,1
1527665141440978946,1,pro Russian government,1,1
1549463447297040386,1,against Western countries,0,1
1555325197162528769,1,against Ukraine,1,1
1537224954823213056,0,general discourse,1,1
1566932245285404682,0,general discourse,0,1
1552323862502727685,0,general discourse,0,1
1509956343486201859,1,pro Russian government,1,1
1502862153283424262,0,general discourse,1,1
1511058059954728965,1,pro Russian government,1,1
1533209076221546496,1,pro Russian government,1,1
1536055232798547969,0,general discourse,1,1
1515326199479873542,1,against Western countries,1,1
1526014253219598338,0,general discourse,1,1
1569887687930253312,1,against Ukraine,1,1
1524791793493102592,1,against Western countries,1,1
1528157097057304576,1,against Ukraine,1,1
1519867501915553793,1,pro Russian government,1,1
1529161936847441920,0,general discourse,1,1
1505105466837377026,0,general discourse,0,0
1505260993668161537,0,general discourse,0,1
1507309670477840387,0,general discourse,0,0
1507784471818346498,0,general discourse,0,1
1508597762199371778,0,general discourse,1,1
1508857625684848641,0,general discourse,1,1
1504779567931686914,0,general discourse,1,1
1509272139735699456,0,general discourse,0,0
1509650113488367617,0,general discourse,0,0
1510885457764261888,0,general discourse,1,1
1555160313095487488,0,general discourse,1,1
1511115897863299085,0,general discourse,0,1
1540419840418226177,0,general discourse,0,1
1511477035717529603,0,general discourse,0,0
1512473662213046278,0,general discourse,0,0
1512625120669437958,0,general discourse,0,0
1512729137152147456,1,against Western countries,0,1
1512823770234462217,0,general discourse,1,1
1514347150091694093,0,general discourse,1,1
1514619250400452610,0,general discourse,0,0
1514951167817789442,1,aimed at other countries,1,1
1519482876198150144,0,general discourse,0,1
1522154136342511617,0,general discourse,0,1
1520934864391966725,0,general discourse,1,1
1500574438990958599,0,general discourse,1,1
1511506151858393090,0,general discourse,1,1
1503579662106206212,0,general discourse,1,1
1521059677592825857,0,general discourse,1,1
1573693489052647424,0,general discourse,1,1
1522821083929346048,0,general discourse,1,1
1523584746961645568,0,general discourse,0,0
1523648943883636737,0,general discourse,0,0
1526917983121162241,0,general discourse,0,1
1530359600570064899,0,general discourse,0,1
1532056696347971584,1,against Ukraine,0,1
1533243009768497152,0,general discourse,1,1
1511515203644661765,0,general discourse,0,1
1534203425487036419,0,general discourse,0,0
1512020226883432453,0,general discourse,0,0
1509469477179691009,0,general discourse,0,0
1535485088837804032,0,general discourse,0,1
1537162292311298048,0,general discourse,1,1
1541919481727000577,0,general discourse,1,1
1542417203575783424,0,general discourse,0,1
1497224755144888325,0,general discourse,0,1
1550148375542206467,0,general discourse,1,1
1535898203874271232,1,pro Russian government,1,1
1498221745215614981,0,general discourse,1,1
1563094037728337920,0,general discourse,1,1
1544227954263265280,1,against Ukraine,0,1
1537871305013444608,0,general discourse,0,0
1547385593508020224,0,general discourse,0,1
1548340039087558659,1,against Ukraine,1,1
1548782037187940352,0,general discourse,1,1
1517380210844475393,0,general discourse,0,1
1443165378461540360,0,general discourse,0,1
1493509344062844929,0,general discourse,1,1
1529336466433658881,0,general discourse,1,1
1358020469778239488,0,general discourse,1,1
1557047962307543049,1,against Ukraine,0,0
1500404012511686664,0,general discourse,1,1
1504711000473362438,0,general discourse,0,1
1446797077766344707,0,general discourse,0,1
1475903658529370115,0,general discourse,1,1
1550090682005700610,0,general discourse,1,1
1554888241530433537,0,general discourse,0,0
1560267022339952641,0,general discourse,0,1
1497752596651687943,1,against Western countries,1,1
1535180720045432832,0,general discourse,1,1
1498856213345406976,0,general discourse,0,1
1479904993767563268,0,general discourse,0,1
1405263356320272388,0,general discourse,1,1
1565986708293812225,0,general discourse,0,1
1480553869558038530,0,general discourse,0,1
1551159256103141376,0,general discourse,0,1
1569031588507262976,0,general discourse,0,1
1505324993076510725,0,general discourse,1,1
1510725981375508484,0,general discourse,0,1
1521741666666827776,0,general discourse,0,1
1498307001239183369,0,general discourse,1,1
1506245055853568005,0,general discourse,1,1
1453454206938062857,0,general discourse,0,1
1490574549032787969,0,general discourse,0,1
1560681633040277506,1,against Ukraine,0,1
1560717328412823552,1,against Ukraine,0,0
1562121836179202053,1,aimed at other countries,0,0
1572299460775927811,1,against Ukraine,0,0
1566212870630678528,1,against Ukraine,0,0
1568267165802930178,1,against Ukraine,0,0
1572056096000311299,1,against Ukraine,0,0
1572297760967217153,1,against Ukraine,0,0
1561335409363361792,0,general discourse,0,0
1572297317096591360,1,against Ukraine,0,0
1564351695018233856,0,general discourse,1,1
1565819551136112640,0,general discourse,0,0
1562913503815426048,0,general discourse,1,1
1566384609851498502,1,pro Russian government,1,1
1570315628770107392,1,against Ukraine,1,1
1566816497246343174,0,general discourse,1,1
1521926955477651457,0,general discourse,0,1
1567406635613671425,0,general discourse,0,0
1568321817705877504,0,general discourse,0,1
1568606907769700353,0,general discourse,0,1
1508779706572754961,0,general discourse,1,1
1544401471319441411,0,general discourse,0,1
1394991172083490816,0,general discourse,1,1
1514010762532081674,0,general discourse,1,1
1568926997509816322,0,general discourse,1,1
1563267911929643009,0,general discourse,1,1
1517432359179673600,0,general discourse,1,1
1510741613793927181,0,general discourse,1,1
1505267787463331847,0,general discourse,0,1
1543910269969113089,0,general discourse,1,1
1500653608425209859,0,general discourse,0,1
1570366364983902214,0,general discourse,0,0
1572175851072139266,0,general discourse,0,1
1572581691079938049,1,against Western countries,1,1
1574081327145668611,0,general discourse,0,1
1517436312013447169,1,against Western countries,0,1
1563935721232240643,1,against Western countries,1,1
1497286840373633024,0,general discourse,0,1
1509152413663510537,1,against Western countries,0,0
1506372016911306757,0,general discourse,1,1
1545669490586836993,0,general discourse,0,1
1575373170093105157,1,against Western countries,0,1
1373798736292311043,0,general discourse,0,1
1376216034340958212,0,general discourse,0,0
1384958795810545664,0,general discourse,0,0
1387719299348025345,0,general discourse,0,1
1390069717872824321,0,general discourse,0,1
1396604642814042116,0,general discourse,0,1
1511448721418035202,0,general discourse,0,1
1518058471589097473,0,general discourse,0,1
1545905877143650304,0,general discourse,1,1
1496688917520785415,0,general discourse,0,1
